prev_title,curr_title,n,type
other-google,KickassTorrents,190167,other
other-google,Tokyo_Ghoul,189536,other
other-google,The_Big_Bang_Theory_(season_8),189211,other
other-google,Cristiano_Ronaldo,188873,other
other-google,I_(film),188758,other
other-google,Sasha_Grey,188315,other
other-google,Bob_Marley,188140,other
other-google,Deaths_in_2015,187360,other
other-google,The_Blacklist_(TV_series),187330,other
other-google,John_Wick_(film),186630,other
other-google,"Delhi_Legislative_Assembly_election,_2015",186555,other
other-google,"Floyd_Mayweather,_Jr.",186364,other
other-google,Patricia_Arquette,186135,other
Jamie_Dornan,Amelia_Warner,185700,link
Stephen_Hawking,Jane_Wilde_Hawking,185449,link
other-google,Selma_(film),185189,other
other-empty,Wiki,183514,other
other-google,Manny_Pacquiao,182826,other
other-google,Take_Me_to_Church,182473,other
other-google,Constantine_(TV_series),182363,other
other-google,Net_neutrality,182261,other
other-google,Harper_Lee,182031,other
other-google,Harry_Kane,181469,other
other-google,Kim_Kardashian,180338,other
other-google,The_Vampire_Diaries_(season_6),177663,other
other-google,J._K._Simmons,176989,other
other-google,Margot_Robbie,176014,other
other-google,Steve_Jobs,175637,other
other-google,Bobbi_Kristina_Brown,175605,other
other-google,Jimmy_Fallon,174213,other
other-google,List_of_The_Big_Bang_Theory_episodes,172299,other
other-google,Lionel_Messi,171703,other
other-google,Rob_Gronkowski,171017,other
other-google,Elon_Musk,170757,other
other-empty,Akamai_Technologies,170399,other
other-other,Have_Gun_–_Will_Travel,170094,other
other-google,Zach_LaVine,169874,other
other-google,Downton_Abbey,169814,other
other-google,Illuminati,169542,other
other-google,Fury_(2014_film),169404,other
other-google,Forever_(U.S._TV_series),169179,other
other-google,Edward_Snowden,168810,other
other-google,Melanie_Griffith,168572,other
other-google,Magna_Carta,167582,other
other-google,Ashoka,166627,other
other-google,William_Shakespeare,166604,other
other-google,Fortitude_(TV_series),166595,other
other-google,List_of_Running_Man_episodes,166220,other
other-google,John_Legend,165285,other
other-google,Foxcatcher,165090,other
other-google,Mila_Kunis,164514,other
other-google,Michael_Jackson,164357,other
other-google,Baby_(2015_film),164207,other
other-google,Abdullah_II_of_Jordan,164049,other
other-google,Iggy_Azalea,163392,other
other-google,List_of_The_Flash_episodes,161866,other
The_Walking_Dead_(TV_series),List_of_The_Walking_Dead_episodes,161407,link
List_of_The_Flash_episodes,The_Flash_(2014_TV_series),161081,other
other-google,Meghan_Trainor,160564,other
other-other,Google,160252,other
other-google,Mark_Ronson,160061,other
other-google,Vietnam_War,159971,other
other-google,Lesley_Gore,159844,other
other-google,Attack_on_Titan,159450,other
other-google,Google,159323,other
other-yahoo,Google,158634,other
other-google,Crusades,158569,other
other-google,Star_Wars_Rebels,158411,other
other-google,Gas_constant,156797,other
other-google,Muhammad_Ali,156459,other
The_Big_Bang_Theory,List_of_The_Big_Bang_Theory_episodes,156313,link
other-google,Sunny_Leone,155288,other
other-google,New_England_Patriots,155241,other
other-google,The_Interview_(2014_film),153564,other
other-google,Will_Smith,153345,other
other-google,Julian_Edelman,152898,other
American_Sniper_(film),Chris_Kyle,152892,link
other-wikipedia,Autonomous_system_(Internet),152471,other
other-google,Keanu_Reeves,152199,other
other-google,Benedict_Cumberbatch,151802,other
other-google,Zendaya,151567,other
other-google,Charles_Manson,150705,other
other-google,Bill_Gates,150270,other
other-google,Seven_deadly_sins,150086,other
other-google,List_of_countries_by_GDP_(nominal),150018,other
other-google,Anegan,149993,other
other-google,Grey's_Anatomy_(season_11),149702,other
other-google,Sherlock_(TV_series),149697,other
other-google,Rosa_Parks,149660,other
other-google,Windows_10,149637,other
other-google,NATO_phonetic_alphabet,148904,other
Main_Page,Limpet,148820,other
other-google,Evolve_(video_game),148702,other
other-google,Australia,148612,other
other-google,Broadchurch,148102,other
other-google,Academy_Award_for_Best_Picture,147750,other
other-google,Raspberry_Pi,146944,other
other-google,Jon_Stewart,146889,other
other-google,Harry_Potter,146473,other
other-google,Jane_Wilde_Hawking,145543,other
other-google,United_Kingdom,145364,other
other-google,Annie_Lennox,144932,other
other-google,List_of_Downton_Abbey_episodes,144769,other
other-google,Michael_Keaton,144557,other
other-google,Bradley_Cooper,144490,other
other-google,Greek_alphabet,144160,other
other-google,PK_(film),144095,other
other-google,List_of_HTTP_status_codes,143753,other
other-google,Tinder_(application),143550,other
other-google,Spartacus_(TV_series),143192,other
other-empty,HTTP_404,142958,other
other-google,Rihanna,142682,other
other-google,Chinese_zodiac,142655,other
other-google,Frozen_(2013_film),142286,other
other-google,Johnny_Depp,142188,other
other-google,American_Horror_Story,142177,other
other-google,List_of_most_viewed_YouTube_videos,141879,other
other-google,Neil_Patrick_Harris,141649,other
other-google,George_Washington,141630,other
other-google,John_Eleuthère_du_Pont,141555,other
other-google,Nikola_Tesla,141515,other
other-google,Graham_Moore_(writer),141026,other
other-google,Orange_Is_the_New_Black,140935,other
other-google,Rita_Ora,140847,other
Main_Page,TransAsia_Airways_Flight_235,140335,other
other-google,Scandal_(TV_series),140240,other
other-google,Singapore,139716,other
other-google,Stevie_Wonder,139712,other
Dakota_Johnson,Melanie_Griffith,139682,link
other-google,Emma_Watson,139131,other
other-google,FourFiveSeconds,138463,other
Take_Me_to_Church,Take_Me_to_Church_(Hozier_song),138179,link
other-google,Nightcrawler_(film),138081,other
other-google,Nicki_Minaj,138049,other
other-google,List_of_emoticons,137921,other
other-other,AC3,137785,other
other-google,2014_in_film,137528,other
other-google,Anna_Kendrick,137206,other
other-google,Normal_distribution,137050,other
other-google,Cloud_computing,136995,other
other-google,Donald_Glover,136621,other
other-google,Saint_Valentine,136287,other
The_Blacklist_(TV_series),List_of_The_Blacklist_episodes,136236,link
other-google,List_of_The_100_episodes,136120,other
other-google,Black_Sails_(TV_series),136076,other
Better_Call_Saul,Uno_(Better_Call_Saul),135900,link
other-google,Harris_Wittels,135559,other
other-google,Thomas_Edison,135300,other
other-empty,Facebook,135166,other
other-google,Periodic_table,135109,other
Main_Page,Islamic_State_of_Iraq_and_the_Levant,134883,link
other-google,Friends,134816,other
other-google,Wonders_of_the_World,134786,other
other-google,China,134579,other
other-google,Uptown_Funk,134520,other
other-google,Grey's_Anatomy,134505,other
other-google,RWBY,134436,other
other-google,The_Mentalist,134212,other
other-google,N.W.A,134173,other
other-google,The_SpongeBob_Movie:_Sponge_Out_of_Water,134006,other
other-google,Pretty_Little_Liars_(season_5),133999,other
other-google,Pretty_Little_Liars_(TV_series),133962,other
Suits_(TV_series),List_of_Suits_episodes,133868,link
other-google,Friday_the_13th,133558,other
other-google,Apple_Inc.,133195,other
other-google,The_Beatles,132976,other
Dakota_Johnson,Don_Johnson,132975,link
other-google,Yanis_Varoufakis,132392,other
other-google,List_of_Super_Bowl_halftime_shows,132309,other
other-google,List_of_Castle_episodes,132248,other
